year,level,course,sex,enrolment_preu
1992,Junior College 1,Science,M,3453.0
1992,Junior College 2,Arts,MF,1656.0
1992,Junior College 2,Arts,F,1252.0
1992,Junior College 2,Arts,M,404.0
1992,Junior College 2,Commerce,MF,2201.0
1992,Junior College 2,Commerce,F,1622.0
1992,Junior College 2,Commerce,M,579.0
1992,Junior College 2,Science,MF,5673.0
1992,Junior College 2,Science,F,2165.0
1992,Junior College 2,Science,M,3508.0
1992,Pre-University 1,Arts,MF,242.0
1992,Pre-University 1,Arts,F,171.0
1992,Pre-University 1,Arts,M,71.0
1992,Pre-University 1,Commerce,MF,1400.0
1992,Pre-University 1,Commerce,F,970.0
1992,Pre-University 1,Commerce,M,430.0
1992,Pre-University 1,Science,MF,182.0
1992,Pre-University 1,Science,F,69.0
1992,Pre-University 1,Science,M,113.0
1992,Pre-University 2,Arts,MF,298.0
1992,Pre-University 2,Arts,F,205.0
1992,Pre-University 2,Arts,M,93.0
1992,Pre-University 2,Commerce,MF,1508.0
1992,Pre-University 2,Commerce,F,1022.0
1992,Pre-University 2,Commerce,M,486.0
1992,Pre-University 2,Science,MF,188.0
1992,Pre-University 2,Science,F,79.0
1992,Pre-University 2,Science,M,109.0
1992,Pre-University 3,Arts,MF,267.0
1992,Pre-University 3,Arts,F,193.0
1992,Pre-University 3,Arts,M,74.0
1992,Pre-University 3,Commerce,MF,1531.0
1992,Pre-University 3,Commerce,F,1123.0
1992,Pre-University 3,Commerce,M,408.0
1992,Pre-University 3,Science,MF,146.0
1992,Pre-University 3,Science,F,54.0
1992,Pre-University 3,Science,M,92.0
1993,Junior College 1,Arts,MF,1622.0
1993,Junior College 1,Arts,F,1171.0
1993,Junior College 1,Arts,M,451.0
1993,Junior College 1,Commerce,MF,2134.0
1993,Junior College 1,Commerce,F,1582.0
1993,Junior College 1,Commerce,M,552.0
1993,Junior College 1,Science,MF,6457.0
1993,Junior College 1,Science,F,2776.0
1993,Junior College 1,Science,M,3681.0
1993,Junior College 2,Arts,MF,1506.0
1993,Junior College 2,Arts,F,1062.0
1993,Junior College 2,Arts,M,444.0
1993,Junior College 2,Commerce,MF,1851.0
1993,Junior College 2,Commerce,F,1362.0
1993,Junior College 2,Commerce,M,489.0
1993,Junior College 2,Science,MF,5526.0
1993,Junior College 2,Science,F,2241.0
1993,Junior College 2,Science,M,3285.0
1993,Pre-University 1,Arts,MF,148.0
1993,Pre-University 1,Arts,F,93.0
1993,Pre-University 1,Arts,M,55.0
1993,Pre-University 1,Commerce,MF,1114.0
1993,Pre-University 1,Commerce,F,750.0
1993,Pre-University 1,Commerce,M,364.0
1993,Pre-University 1,Science,MF,111.0
1993,Pre-University 1,Science,F,43.0
1993,Pre-University 1,Science,M,68.0
1993,Pre-University 2,Arts,MF,211.0
1993,Pre-University 2,Arts,F,148.0
1993,Pre-University 2,Arts,M,63.0
